SITE_ID,SENSOR_SLOT_ID,START_DATETIME,END_DATETIME,INSTANCE,SERIAL_NUMBER,COMMENTS
COCLP,PHENOCAM_LENS1,2014-11-21 14:30:00,,1.0,5919205,"IP:10.12.108.146, unknown end date. "
EASTB,PHENOCAM_LENS1,2014-08-13 11:30:00,2018-10-18 12:00:00,1.0,5914230,IP:10.12.112.166
ELMST,PHENOCAM_LENS1,2016-08-11 15:30:00,2018-09-21 12:00:00,1.0,5368215,IP:10.16.46.232
EUSTN,PHENOCAM_LENS1,2016-03-31 16:00:00,2018-05-10 12:00:00,1.0,5393154,IP:10.16.46.236
GISBN,PHENOCAM_LENS1,2014-08-15 12:00:00,2018-12-18 12:00:00,1.0,5918795,IP:10.11.115.44
GLENS,PHENOCAM_LENS1,2014-05-14 11:30:00,2018-07-03 11:00:00,1.0,5915241,
GLENW,PHENOCAM_LENS1,2016-06-15 15:00:00,2018-11-14 12:00:00,1.0,5369471,IP:10.16.44.183
HADLW,PHENOCAM_LENS1,2016-10-27 14:30:00,2018-10-25 14:00:00,1.0,5357520,IP:10.16.44.221
HARWD,PHENOCAM_LENS1,2015-05-22 12:00:00,2018-10-16 09:00:00,1.0,5912746,IP:10.12.108.175
HENFS,PHENOCAM_LENS1,2015-12-17 13:00:00,2018-11-01 12:00:00,1.0,5998114,IP:10.16.106.233
LIZRD,PHENOCAM_LENS1,2014-10-17 12:00:00,2018-12-06 12:00:00,1.0,5913544,IP:10.12.91.83
LODTN,PHENOCAM_LENS1,2016-04-26 15:00:00,,1.0,5393108,IP:10.16.106.73. Installed in MKll enclosure after PPM on 23/04/2018
LULLN,PHENOCAM_LENS1,2014-12-16 15:30:00,2018-10-26 12:00:00,1.0,5919382,IP:10.12.108.153
MOORH,PHENOCAM_LENS1,2014-12-04 11:30:00,2018-08-15 08:00:00,1.0,5913073,IP:10.12.108.158
MORLY,PHENOCAM_LENS1,2014-05-14 05:00:00,2018-09-18 08:00:00,1.0,5918273,
NWYKE,PHENOCAM_LENS1,2014-10-16 09:00:00,2018-12-05 12:00:00,1.0,5920304,IP:10.12.91.71
PLYNL,PHENOCAM_LENS1,2014-11-05 12:30:00,2016-04-09 00:00:00,1.0,5914223,"IP:10.12.77.243, stolen"
RDMER,PHENOCAM_LENS1,2015-02-10 10:30:00,2018-09-19 08:00:00,1.0,5918531,IP:10.12.179.143
REDHL,PHENOCAM_LENS1,2016-02-18 16:00:00,,1.0,5913254,IP:10.12.106.248
RISEH,PHENOCAM_LENS1,2016-05-04 16:00:00,2018-08-17 11:00:00,1.0,5375252,IP:10.16.106.236
ROTHD,PHENOCAM_LENS1,2014-07-25 08:00:00,2018-10-03 12:00:00,1.0,5912089,IP:10.12.108.163
STGHT,PHENOCAM_LENS1,2015-08-19 06:30:00,2018-08-23 12:00:00,1.0,5376288,IP:10.16.65.218
STIPS,PHENOCAM_LENS1,2014-11-06 15:00:00,2018-07-12 12:00:00,1.0,5915480,IP:10.12.77.172
TADHM,PHENOCAM_LENS1,2014-10-14 12:00:00,2018-12-04 12:00:00,1.0,5918919,IP:10.11.113.37
WADDN,PHENOCAM_LENS1,2013-11-04 18:30:00,2018-10-04 12:00:00,1.0,5918595,IP:10.12.150.105
BICKL,PHENOCAM_LENS2,2015-01-28 17:00:00,2018-08-21 09:00:00,1.0,5920160,IP:10.12.91.68
BUNNY,PHENOCAM_LENS2,2015-01-27 00:30:00,2018-08-22 08:00:00,1.0,5913346,IP:10.12.91.162
CARDT,PHENOCAM_LENS2,2015-06-24 10:00:00,2018-10-02 12:30:00,1.0,5376285,IP:10.16.91.35; estimated end date
CGARW,PHENOCAM_LENS2,2016-06-29 11:00:00,2018-09-14 12:00:00,1.0,5392952,IP:10.16.58.159
CHIMN,PHENOCAM_LENS2,2013-10-02 13:30:00,2018-10-05 09:00:00,1.0,5920680,IP:10.12.148.170
EASTB,PHENOCAM_LENS2,2014-08-13 11:30:00,2018-10-18 12:00:00,1.0,5913758,IP:10.12.112.166
ELMST,PHENOCAM_LENS2,2016-08-11 15:30:00,2018-09-21 12:00:00,1.0,5984513,IP:10.16.46.232
EUSTN,PHENOCAM_LENS2,2016-03-31 16:00:00,2018-05-10 12:00:00,1.0,5388231,IP:10.16.46.236
GISBN,PHENOCAM_LENS2,2014-08-15 12:00:00,2018-12-18 12:00:00,1.0,5915431,IP:10.11.115.44
GLENS,PHENOCAM_LENS2,2014-05-14 11:30:00,2018-07-03 11:00:00,1.0,5915161,
CRICH,PHENOCAM_LENS1,2014-12-02 15:00:00,2019-09-03 00:00:00,1.0,5913414,IP: 10.12.140.139
CRICH,PHENOCAM_LENS2,2014-12-02 15:00:00,2019-09-03 00:00:00,1.0,5919480,IP: 10.12.140.139
EASTB,TDT1,2016-11-15 13:00:00,2021-04-22 14:00:00,2.0,6501313,TDT replace on CSL PPM visit - Removed by DR due to potential fault
HARTW,PHENOCAM_LENS1,2014-05-20 13:30:00,2018-07-06 13:00:00,1.0,5921978,
HARTW,PHENOCAM_LENS2,2014-05-20 13:30:00,2018-07-06 13:00:00,1.0,5915072,
HOLLN,PHENOCAM_LENS1,2014-03-25 12:30:00,2018-12-19 12:00:00,1.0,,IP:10.12.108.168 
HOLLN,PHENOCAM_LENS2,2014-03-25 12:30:00,2018-12-19 12:00:00,1.0,,IP:10.12.108.168 
PORTN,PHENOCAM_LENS1,2014-12-18 10:30:00,2018-11-07 12:00:00,1.0,5918276,IP:10.12.108.167 (changed on 12/08/2017 12:00 from 10.12.154.167). 
PORTN,PHENOCAM_LENS2,2014-12-18 10:30:00,2018-11-07 12:00:00,1.0,5918289,IP:10.12.108.167 (changed on 12/08/2017 12:00 from 10.12.154.167). 
SPENF,PHENOCAM_LENS1,2016-11-23 10:00:00,2018-10-16 12:00:00,1.0,,IP:10.16.46.235
SPENF,PHENOCAM_LENS2,2016-11-23 10:00:00,2018-10-16 12:00:00,1.0,,IP:10.16.46.235
TADHM,TDT2,2017-02-09 12:00:00,,2.0,6501251,Replacement installed by CSL during PPM
MOORH,SNOW_DEPTH,2017-01-19 10:30:00,2018-08-15 08:00:00,2.0,5689,Swapped during CSL PPM visit
CGARW,COSMOS_SNOW,2016-06-29 11:00:00,2019-04-01 00:00:00,1.0,HI-TC01-1188,
CGARW,SNOW_DEPTH,2016-06-29 11:00:00,2018-09-14 12:00:00,1.0,6391,
LIZRD,HYGROCLIP,2014-10-17 12:00:00,2017-04-28 08:00:00,1.0,61211922,
LIZRD,HYGROCLIP,2017-04-28 08:00:00,2018-12-06 12:00:00,2.0,61211941,
PORTN,TDT2,2017-04-27 08:30:00,2018-11-07 10:30:00,3.0,6504140,
PORTN,HF1,2017-04-27 08:30:00,,2.0,3682,
PORTN,ETHERNET_115,2014-12-18 10:30:00,2019-03-21 00:00:00,1.0,13330,
PORTN,LOGGER,2014-12-18 10:30:00,2019-03-21 00:00:00,1.0,9680,
PORTN,MODEM,2014-12-18 10:30:00,2017-07-12 12:00:00,1.0,359991030626698,
SPENF,4CR,2016-11-23 10:00:00,2020-07-15 00:00:00,1.0,2320,Swapped by CSL at PPM
SPENF,HF1,2016-11-23 10:00:00,,1.0,3964,
SPENF,HF2,2016-11-23 10:00:00,,1.0,4018,
SPENF,TDT1,2016-11-23 10:00:00,,1.0,6504163,
SPENF,TDT2,2016-11-23 10:00:00,,1.0,6504158,
SPENF,TDT3,2016-11-23 10:00:00,,1.0,6504178,
SPENF,TDT4,2016-11-23 10:00:00,,1.0,6503271,
SPENF,TDT5,2016-11-23 10:00:00,,1.0,6503223,
SPENF,TDT6,2016-11-23 10:00:00,,1.0,6504168,
SPENF,TDT7,2016-11-23 10:00:00,,1.0,6503199,
SPENF,TDT8,2016-11-23 10:00:00,,1.0,6504177,
SPENF,TDT9,2016-11-23 10:00:00,,1.0,6503281,
SPENF,TDT10,2016-11-23 10:00:00,,1.0,6503263,
SPENF,AWS_ANEM,2016-11-23 10:00:00,2021-05-18 09:00:00,1.0,144204,PPM states this is still onsite 16-Jul-2020
SPENF,RG,2016-11-23 10:00:00,2019-09-19 00:00:00,1.0,368537,Noisy
SPENF,COSMOS_MOD,2016-11-23 10:00:00,,1.0,HI-TC02-1080,
SPENF,STP,2016-11-23 10:00:00,,1.0,2249,
SPENF,RH,2016-11-23 10:00:00,2018-10-16 12:00:00,1.0,M290119,Not enough digits sn?
SPENF,PA,2016-11-23 10:00:00,2020-07-15 00:00:00,1.0,K4840004,Swapped by CSL at PPM
SPENF,DERIVED,2016-11-23 10:00:00,,1.0,,
MORLY,RG,2016-11-04 10:00:00,2019-09-24 07:00:00,2.0,328998,
ALIC1,PHENOCAM_LENS2,2015-03-06 13:30:00,2018-12-20 12:00:00,1.0,5919451,IP:10.12.99.71
ALIC1,PHENOCAM_LENS1,2015-03-06 13:30:00,2018-12-20 12:00:00,1.0,5920232,IP:10.12.99.71
FINCH,4CR,2017-06-07 00:00:00,2021-04-27 12:00:00,1.0,2304,
FINCH,AWS_ANEM,2017-06-07 00:00:00,,1.0,144207,
FINCH,COSMOS_MOD,2017-06-07 00:00:00,,1.0,HI-TC02-2048,
FINCH,DERIVED,2017-06-07 00:00:00,,1.0,,
FINCH,ETHERNET_116,2017-06-07 00:00:00,,1.0,4520,
FINCH,HF1,2017-06-07 00:00:00,,1.0,4017,
FINCH,HF2,2017-06-07 00:00:00,,1.0,4024,
FINCH,LOGGER,2017-06-07 00:00:00,2021-04-27 12:00:00,1.0,9898,Cal date 17/10/14
FINCH,PA,2017-06-07 00:00:00,2020-07-30 00:00:00,1.0,K442008,
FINCH,PHENOCAM_LENS1,2017-06-07 00:00:00,2018-09-17 12:00:00,1.0,,IP:10.16.46.240 
FINCH,PHENOCAM_LENS2,2017-06-07 00:00:00,2018-09-17 12:00:00,1.0,,IP:10.16.46.240 
FINCH,RH,2017-06-07 00:00:00,2018-09-17 12:00:00,1.0,M2920120,
FINCH,STP,2017-06-07 00:00:00,,1.0,2261,
FINCH,TDT1,2017-06-07 00:00:00,,1.0,6504197,
FINCH,TDT10,2017-06-07 00:00:00,,1.0,6503275,Installed in bedrock. Data from this sensor is not representative of soil.
FINCH,TDT2,2017-06-07 00:00:00,,1.0,6504180,
FINCH,TDT3,2017-06-07 00:00:00,,1.0,6503265,
FINCH,TDT4,2017-06-07 00:00:00,,1.0,6504185,
FINCH,TDT5,2017-06-07 00:00:00,,1.0,6503245,
FINCH,TDT6,2017-06-07 00:00:00,,1.0,6504151,
FINCH,TDT7,2017-06-07 00:00:00,,1.0,6504164,
FINCH,TDT8,2017-06-07 00:00:00,,1.0,6504175,
FINCH,TDT9,2017-06-07 00:00:00,,1.0,6503269,Installed in bedrock. Data from this sensor is not representative of soil.
ALIC1,DERIVED,2015-03-06 13:30:00,,1.0,,
BALRD,DERIVED,2014-05-15 17:30:00,,1.0,,
BICKL,DERIVED,2015-01-28 17:00:00,,1.0,,
BUNNY,DERIVED,2015-01-27 00:30:00,,1.0,,
CARDT,DERIVED,2015-06-24 10:00:00,,1.0,,
CGARW,DERIVED,2016-06-29 11:00:00,,1.0,,
CHIMN,DERIVED,2013-10-02 13:30:00,,1.0,,
CHOBH,DERIVED,2015-02-24 14:00:00,,1.0,,
COCLP,DERIVED,2014-11-21 14:30:00,,1.0,,
CRICH,DERIVED,2014-12-02 15:00:00,,1.0,,
EASTB,DERIVED,2014-08-13 11:30:00,,1.0,,
ELMST,DERIVED,2016-08-11 15:30:00,,1.0,,
EUSTN,DERIVED,2016-03-31 16:00:00,,1.0,,
GISBN,DERIVED,2014-08-15 12:00:00,,1.0,,
GLENS,DERIVED,2014-05-14 11:30:00,,1.0,,
GLENW,DERIVED,2016-06-15 15:00:00,,1.0,,
HADLW,DERIVED,2016-10-27 14:30:00,,1.0,,
HARTW,DERIVED,2014-05-20 13:30:00,,1.0,,
HENFS,DERIVED,2015-12-17 13:00:00,,1.0,,
HILLB,DERIVED,2016-06-14 17:00:00,,1.0,,
HOLLN,DERIVED,2014-03-25 12:30:00,,1.0,,
LIZRD,DERIVED,2014-10-17 12:00:00,,1.0,,
LODTN,DERIVED,2016-04-26 15:00:00,,1.0,,
LULLN,DERIVED,2014-12-16 15:30:00,,1.0,,
MOORH,DERIVED,2014-12-04 11:30:00,,1.0,,
MORLY,DERIVED,2014-05-14 05:00:00,,1.0,,
NWYKE,DERIVED,2014-10-16 09:00:00,,1.0,,
PLYNL,DERIVED,2014-11-05 12:30:00,,1.0,,
PORTN,DERIVED,2014-12-18 10:30:00,,1.0,,
RDMER,DERIVED,2015-02-10 10:30:00,2018-09-19 08:00:00,1.0,,
REDHL,DERIVED,2016-02-18 16:00:00,,1.0,,
RISEH,DERIVED,2016-05-04 16:00:00,,1.0,,
ROTHD,DERIVED,2014-07-25 08:00:00,,1.0,,
SHEEP,DERIVED,2013-10-24 14:30:00,,1.0,,
SOURH,DERIVED,2014-11-19 11:00:00,,1.0,,
STGHT,DERIVED,2015-08-19 06:30:00,,1.0,,
STIPS,DERIVED,2014-11-06 15:00:00,,1.0,,
TADHM,DERIVED,2014-10-14 12:00:00,,1.0,,
WADDN,DERIVED,2013-11-04 18:30:00,,1.0,,
WYTH1,DERIVED,2013-11-26 00:30:00,2016-09-30 09:00:00,1.0,,
PLYNL,AWS_ANEM,2015-12-03 12:00:00,2017-11-16 16:00:00,2.0,144206,
WADDN,LOGGER,2013-11-04 12:00:00,2014-01-27 12:00:00,1.0,8479,Short circuit in HFP01 shunt resistor wiring in main logger loom - whole logger box (except SIM card) returned to Campbell for repair
WADDN,LOGGER,2014-01-27 12:00:00,2020-02-13 00:00:00,2.0,8475,Removed during CSL PPM
WYTH1,TDT2,2014-01-28 12:00:00,2016-09-30 09:00:00,2.0,6501037,"Moved to 1m North of RG sleeper, 0.6 East of sleeper"
NWYKE,HYGROCLIP,2014-10-16 09:00:00,2015-03-18 14:00:00,1.0,61018959,
NWYKE,HYGROCLIP,2015-03-18 14:00:00,2018-01-01 00:00:00,2.0,61212104,False End Date - Sensor swapped by Deborah Beaumont
PORTN,TDT2,2016-01-25 13:30:00,2017-04-27 08:30:00,2.0,6501288,
CARDT,ETHERNET_115,2015-06-24 10:00:00,2016-08-04 10:30:00,1.0,13806,
CARDT,ETHERNET_115,2016-08-04 10:30:00,2020-08-19 11:00:00,2.0,13627,
GLENS,RG,2017-02-01 10:00:00,2020-02-19 00:00:00,2.0,368535,Possible noisy data
EASTB,SNOW_DEPTH,2016-11-15 12:00:00,2018-10-18 12:00:00,2.0,7220,Replaced during CSL PPM
GISBN,SNOW_DEPTH,2017-01-31 11:00:00,2018-12-18 12:00:00,2.0,6258,Replaced by DR on maintenance visit
GLENS,SNOW_DEPTH,2016-04-06 14:30:00,2019-08-27 00:00:00,2.0,6674,Replaced by DR due to fault
RISEH,RG,2016-12-22 12:00:00,2020-07-10 08:50:00,2.0,340988,Removed during RM due to suspected false measurements
HARTW,TDT1,2017-01-17 09:30:00,,2.0,6501271,Replaced during CSL PPM
HENFS,AWS_SDM,2015-12-17 13:00:00,2017-01-24 12:30:00,1.0,,
HENFS,AWS_SDM,2017-01-24 12:30:00,,2.0,E3771,Replaced during CSL PPM
NWYKE,AWS_SDM,2014-10-16 09:00:00,2017-02-08 10:30:00,1.0,,
NWYKE,AWS_SDM,2017-02-08 10:30:00,,2.0,E3773,Replaced during CSL PPM
FINCH,AWS_SDM,2017-06-07 00:00:00,,1.0,E5895,
FINCH,MODEM_PRO,2017-06-07 00:00:00,2021-04-27 12:00:00,1.0,867377020419036,201608030268
MOORH,HYGROCLIP,2014-12-04 11:30:00,2017-07-14 09:00:00,1.0,61019037,
MOORH,HYGROCLIP,2017-07-14 09:00:00,2017-11-17 11:00:00,2.0,61019432,
PORTN,MODEM_PRO,2017-07-12 12:00:00,2021-07-06 00:00:00,1.0,867377020460055,
WRTTL,4CR,2017-07-04 00:00:00,2021-07-15 00:00:00,1.0,1937,
WRTTL,AWS_ANEM,2017-07-04 00:00:00,,1.0,144302,
WRTTL,AWS_SDM,2017-07-04 00:00:00,,1.0,E5888,
WRTTL,COSMOS_MOD,2017-07-04 00:00:00,,1.0,HI-TC02-2046,
WRTTL,ETHERNET_115,2017-07-04 00:00:00,2020-10-16 10:00:00,1.0,13624,
WRTTL,HF1,2017-07-04 00:00:00,2018-10-23 12:00:00,1.0,3963,
WRTTL,HF2,2017-07-04 00:00:00,,1.0,3967,
WRTTL,LOGGER,2017-07-04 00:00:00,2020-10-16 10:00:00,1.0,9891,
WRTTL,MODEM_PRO,2017-07-04 00:00:00,2021-07-15 00:00:00,1.0,867377020460345,
WRTTL,PA,2017-07-04 00:00:00,2019-11-20 00:00:00,1.0,K4840003,PPM
WRTTL,PHENOCAM_LENS1,2017-07-04 00:00:00,2018-10-23 12:00:00,1.0,5410218,IP:10.16.46.68 
WRTTL,PHENOCAM_LENS2,2017-07-04 00:00:00,2018-10-23 12:00:00,1.0,5368314,IP:10.16.46.68 
WRTTL,RG,2017-07-04 00:00:00,,1.0,358379,
WRTTL,RH,2017-07-04 00:00:00,2019-06-19 08:35:00,1.0,M2920116,Replaced by DR during RM as not done during PPM
WRTTL,STP,2017-07-04 00:00:00,,1.0,2256,
WRTTL,TDT1,2017-07-04 00:00:00,,1.0,6504155,
WRTTL,TDT10,2017-07-04 00:00:00,,1.0,6503261,
WRTTL,TDT2,2017-07-04 00:00:00,,1.0,6504153,
WRTTL,TDT3,2017-07-04 00:00:00,,1.0,6503238,
WRTTL,TDT4,2017-07-04 00:00:00,,1.0,6503197,
WRTTL,TDT5,2017-07-04 00:00:00,,1.0,6503268,
WRTTL,TDT6,2017-07-04 00:00:00,,1.0,6504166,
WRTTL,TDT7,2017-07-04 00:00:00,,1.0,6503204,
WRTTL,TDT8,2017-07-04 00:00:00,,1.0,6504172,
WRTTL,TDT9,2017-07-04 00:00:00,,1.0,6504167,
COCLP,ETHERNET_115,2017-07-18 12:00:00,,2.0,5299,Swapped by JT during RM
COCLP,ETHERNET_115,2014-11-21 14:30:00,2017-07-18 12:00:00,1.0,13331,
COCLP,MODEM,2014-11-21 14:30:00,2017-07-18 12:00:00,1.0,359991030605569,
WRTTL,DERIVED,2017-07-04 00:00:00,,1.0,,
CHOBH,ETHERNET_115,2016-08-22 14:00:00,2017-06-01 17:30:00,2.0,13760,
CHOBH,ETHERNET_115,2017-06-01 17:30:00,,3.0,13626,
GLENS,HYGROCLIP,2017-08-02 14:30:00,2017-09-15 11:30:00,2.0,61222958,Replaced by JT in response to suspect data.
CRICH,ETHERNET_116,2017-08-04 09:30:00,2022-05-08 12:00:00,2.0,4728,Replaced by JT on RM site visit
CRICH,ETHERNET_115,2014-12-02 15:00:00,2017-08-04 09:30:00,1.0,13329,
GLENS,MODEM_PRO,2017-08-02 14:30:00,2021-09-21 09:00:00,1.0,867377020460188,
GLENS,LOGGER,2017-08-02 14:30:00,2019-08-27 00:00:00,2.0,9764,Replaced at PPM
BALRD,AWS_ANEM,2017-08-03 10:30:00,2021-09-22 00:00:00,2.0,144209,Replaced by JT on site visit.
RDMER,ETHERNET_115,2015-02-10 10:30:00,2018-09-19 08:00:00,1.0,13473,
RDMER,LOGGER,2015-02-10 10:30:00,2018-09-19 08:00:00,1.0,9476,
RDMER,MODEM_PRO,2017-08-03 10:00:00,2018-09-19 08:00:00,1.0,867377020460428,
TADHM,ETHERNET_115,2014-10-14 12:00:00,,1.0,12098,
TADHM,LOGGER,2014-10-14 12:00:00,2020-08-26 08:15:00,1.0,8939,Replaced during PPM
HOLLN,HYGROCLIP,2017-08-01 14:30:00,2018-12-12 11:00:00,4.0,61018754,Replaced during CSL PPM
SPENF,MODEM_PRO,2017-08-01 10:30:00,2021-05-18 09:00:00,1.0,867377020460063,
HOLLN,ETHERNET_115,2014-03-25 12:30:00,2019-05-23 10:00:00,1.0,12017,
